canonical_composer,canonical_title,split,year,midi_filename,audio_filename,duration,prompt,caption
Alban Berg,Sonata Op. 1,train,2018,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.wav,698.6611603,Composer:Alban Berg;Title:Sonata Op. 1,"The Sonata Op. 1 by Alban Berg is a captivating piano piece known for its expressive and introspective nature. The key of the sonata is B minor, which contributes to its melancholic atmosphere. The melody in this piece is intricate and emotive, showcasing Berg's mastery of musical storytelling. The style of the Sonata Op. 1 can be described as post-Romantic, with elements of both impressionism and expressionism. The chord progressions in this composition are rich and chromatic, adding to the depth and complexity of the piece."
Alexander Scriabin,"24 Preludes Op. 11, No. 13-24",train,2004,2004/MIDI-Unprocessed_XP_21_R1_2004_01_ORIG_MID--AUDIO_21_R1_2004_01_Track01_wav.midi,2004/MIDI-Unprocessed_XP_21_R1_2004_01_ORIG_MID--AUDIO_21_R1_2004_01_Track01_wav.wav,872.6405881,"Composer:Alexander Scriabin;Title:24 Preludes Op. 11, No. 13-24","The 24 Preludes Op. 11, No. 13-24 by Alexander Scriabin showcases his unique musical style. In these pieces, Scriabin embraces the expressive potential of the piano, exploring various tonalities and harmonies. The melodies are often characterized by intricate, virtuosic passages and lush harmonies, creating a sense of ethereal beauty and mysticism. Scriabin's compositions in this set often feature rich chord progressions, incorporating chromaticism and dissonance to evoke a wide range of emotions, from dreamlike serenity to passionate intensity."
Alexander Scriabin,"3 Etudes, Op. 65",validation,2006,2006/MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,2006/MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.wav,397.8575081,"Composer:Alexander Scriabin;Title:3 Etudes, Op. 65","The 3 Etudes, Op. 65 by Alexander Scriabin are a set of challenging piano pieces that showcase the composer's unique musical language. The key characteristics of these etudes include the use of rich harmonies, lush chromaticism, and virtuosic passages. The melodies often incorporate mysterious and ethereal elements, while the overall style can be described as expressive and emotionally intense. Scriabin's typical chord progressions feature unique harmonic progressions and unexpected modulations, adding complexity and depth to these captivating pieces."
Alexander Scriabin,"5 Preludes, Op.15",validation,2009,2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.midi,2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.wav,400.5578259,"Composer:Alexander Scriabin;Title:5 Preludes, Op.15","The 5 Preludes, Op.15 by Alexander Scriabin showcase his unique musical style and harmonic innovation. These preludes are characterized by their chromaticism and expressive melodies, serving as a bridge between Romanticism and early 20th-century music. Scriabin often employs lush and complex chord progressions, combining tonal and modal elements, creating a sense of tension and release throughout the pieces. The pieces demonstrate Scriabin's emotional depth and his exploration of rich harmonic colors and textures."
Alexander Scriabin,"Entragete, Op.63",test,2009,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_07_WAV.midi,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_07_WAV.wav,163.7458298,"Composer:Alexander Scriabin;Title:Entragete, Op.63","""Entragete"" by Alexander Scriabin, Op.63, is a hauntingly beautiful piano piece written in D minor. Its melody weaves between melancholic and intense passages, showcasing Scriabin's distinctive style which blends Romantic and Impressionistic elements. The piece is characterized by lush harmonies and rich chord progressions that create a sense of emotional depth and complexity. Scriabin's use of chromaticism and dissonance adds an ethereal quality to the overall composition, making ""Entragete"" a remarkable and evocative piano work."
Alexander Scriabin,"Etude Op. 2 No.1;  Etudes Op. 8, Nos. 5, 11 and 12",train,2013,2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--3.midi,2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--3.wav,563.9043506,"Composer:Alexander Scriabin;Title:Etude Op. 2 No.1;  Etudes Op. 8, Nos. 5, 11 and 12","""Etude Op. 2 No.1"" by Alexander Scriabin is a mesmerizing piano piece in A-flat major. Its melody is characterized by lush, flowing passages and intricate arpeggios, showcasing Scriabin's superb pianistic technique. The style of this etude is romantic and virtuosic, with a touch of impressionistic influences. It features typical chord progressions that include rich and colorful harmonies, often utilizing secondary dominants and chromatic harmonies to create expressive and dramatic moments.

Regarding the ""Etudes Op. 8,"" No. 5, No. 11, and No. 12, they are a set of highly challenging and emotive piano pieces by Scriabin. Each one explores different musical ideas and techniques. ""Etude Op. 8 No. 5"" in E major is characterized by a lyrical, singing melody supported by rapid chromatic passages. ""Etude Op. 8 No. 11"" in B-flat minor is known for its striking and passionate whirlwind of cascading notes and thunderous chords. Lastly, ""Etude Op. 8 No. 12,"" also known as the ""Patetico"" etude, is a powerful and intensely dramatic piece in D-sharp minor, with a recurring octave motif and frequent use of tremolos.

Overall, Scriabin's piano etudes are remarkable examples of his unique musical language, combining technical brilliance, emotional depth, and harmonic inventiveness. They are highly expressive and require a pianist with great skill and sensitivity to bring out their full potential."
Alexander Scriabin,"Etude Op. 42, Nos. 4 & 5",test,2009,2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_04_WAV.midi,2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_04_WAV.wav,136.3153017,"Composer:Alexander Scriabin;Title:Etude Op. 42, Nos. 4 & 5","Alexander Scriabin's Etude Op. 42, Nos. 4 & 5 is a remarkable piece composed for piano. These etudes showcase Scriabin's unique blend of Romantic and Impressionistic elements. In No. 4, the key is F# major, featuring a flowing and ethereal melody accompanied by delicate arpeggios and chromatic passages. In contrast, No. 5 is in C# minor, characterized by its dramatic and passionate melody, dramatic chord progressions, and fiery virtuosic passages. These etudes form a beautiful and contrasting pair, displaying Scriabin's versatility as a composer."
Alexander Scriabin,"Etude Op. 8, No. 13",validation,2009,2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_05_WAV.midi,2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_05_WAV.wav,167.0858372,"Composer:Alexander Scriabin;Title:Etude Op. 8, No. 13","Etude Op. 8, No. 13 by Alexander Scriabin, also known as the ""Etude in G-flat major,"" is a captivating piano piece filled with expressive depth. The key of G-flat major provides a rich and resonant tonal palette, giving the piece a sense of majesty and emotional intensity. The melody in this etude is characterized by its intricacy and virtuosic passages, showcasing Scriabin's mastery of piano technique. The style of the piece is highly romantic, with lush harmonies and sweeping arpeggios that create a dreamlike and ethereal atmosphere. Typical chord progressions in this piece include a combination of lush, chromatic harmonies and extended chords, adding to its dramatic and emotional impact."
Alexander Scriabin,"Etude in D-flat Major, Op. 8 No. 10",train,2011,2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_09_Track09_wav.midi,2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_09_Track09_wav.wav,102.0071095,"Composer:Alexander Scriabin;Title:Etude in D-flat Major, Op. 8 No. 10","The Etude in D-flat Major, Op. 8 No. 10 by Alexander Scriabin is a renowned piece in the piano repertoire. In this composition, Scriabin explores the beautiful key of D-flat Major, known for its rich and resonant tonality. The melody is characterized by passionate and energizing motifs, showcasing Scriabin's ability to evoke intense emotions through his music. The piece is in a virtuosic style, demanding technical prowess from the pianist. Typical chord progressions in this etude include cascading arpeggios, complex harmonic structures, and lush chromaticism, creating a mesmerizing and captivating sound world."
Alexander Scriabin,Etudes from Op.8,train,2006,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.midi,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.wav,550.9970452,Composer:Alexander Scriabin;Title:Etudes from Op.8,"The Etudes from Op.8 composed by Alexander Scriabin are known for their highly virtuosic and challenging nature. These pieces showcase Scriabin's unique harmonic language, filled with rich chromaticism and mystical qualities. The melodies in these etudes often feature wide-ranging intervals, creating a sense of expansive and dramatic expression. Scriabin's style in these pieces can be described as Romantic with elements of Impressionism, as he blends lush harmonies with delicate textures. Typical chord progressions in these etudes include sequences of complex chromatic chords and modulations that further enhance the evocative and emotional nature of the music."
